,Text,Sentiment
0,از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم,Negative
2,چون همش با دوربین ثبت شده ، ایا میشه اعتراض زد؟؟ و اصن تاثیر داره؟ کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید,Neutral
4,خب من رسما از یک نفر متنفرم،چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛شپش میگیری،کزاز میگیری،کک داره ،درد داره،مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم... عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن,Negative
6,"اصلا ارزش خرید نداره فقط رو مخ میره""",Negative
7,اونجایه آدمه مفعول ودروغگو...عجب خرایی داریم واقعا...روز روشن میگه شبه!!!اسم اینوچی میشه گذاشت دیگه؟من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه ...کش داشته باشه!,Negative
8,"من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش""",Positive
9,تا این مفسد فی الارض به سزای اعمالش نرسه و ۲۰۰ هزار تومن جریمه نشه من آروم نمی گیریم #سعید_طوسی,Negative
11,اگر در دولت احمدینژاد اتفاق میافتاد انقدر عصبانی نمیشدم؛ اما باید بگویم سایت و اپ #گودریدز در دولت تدبیر و امید #فیلتر شده است. احسنت آقای #روحانی. احسنت وزیرِ جوان؛ آقای #جهرمی . #goodreads   #وحید_آنلاین,Negative
13,چرا چهار صبح باید مطلب خوندن درباره آمار تجاوز تو دنیا برام انقدر جذابیت پیدا کنه؟؟,Positive
14,بچه که بودم خواهرم از بانک که میومد چند ساعتی میخوابید بهش اعتراض میکردم چرا انقد میخوابی میگفت تو دنیا هیچی لذت بخش تر از خواب نیست.. الان به حرفش رسیدم,Positive
15,فردا بالاخره میخوام برم دانشگاه خودمون! اسمشو نبر :)) منتظر کصافط شدن اعصابم توسط کارکنان حراست و خانمهای حجاب هستم,Negative
16,امروز رفتم پیش آقا رضا چاپ اول کتاب خشم و هیاهوی فاکنر رو گذاشته بود تو حراجی کتابش یکسال از بابای من کوچکتره,Neutral
